T	Q	sigma_Q	Qc	sigma_Qc	Qi	sigma_Qi
100	6338.806595749277	113.99813861086177	6841.332250852507	86.02554677303458	86295.8568483589	0.021944140996212093
110	4257.116523764348	62.01070377788493	4440.868300127652	49.2922636088505	102884.9581456898	0.018313439166968818
120	6137.296559740607	105.4303656466161	6834.279856578308	84.82107188710097	60179.350699489856	0.02119295519941353
130	4172.48273983801	61.7913269094748	4427.497849253406	49.96564583146623	72441.42670224255	0.01861912486706064
140	4038.3772100159167	59.714231989342984	4389.769361436698	49.80085637863648	50449.46073716909	0.0186373190088969
150	3883.0300108957567	57.378226159792206	4338.405470355894	49.66205725521871	36993.99757026417	0.018691851728445754
160	4004.675028614838	59.21591056873756	4381.6180349050255	49.85650291472109	46550.688131892675	0.018657920299663844
170	4043.6305652388583	60.22092019169034	4402.064033565246	50.27568083897178	49661.43580111834	0.01876786522619572
180	6337.470759856496	111.0316374681914	6950.193042111466	86.89708950920102	71886.80166426617	0.02152362617598949
190	3823.213265960409	56.538702003796175	4298.790375129865	49.39934453883005	34558.41770534684	0.018728223175919767
200	3674.540758042488	54.63139763607024	4280.213148643838	49.85474731360645	25967.532798028937	0.018886857363517185
210	5694.669184079659	104.46618735627122	6795.580740989275	91.5781341946607	35151.401573318166	0.022762444841606697
50	3360.365249464756	52.90409700614407	4250.668468814879	52.8500678289408	16043.745882473104	0.020061102790424154
60	3136.3814064364506	51.89408256560179	4231.564746589662	55.421654299388166	12118.337181315343	0.02110217247292106
70	2753.05532732837	47.47976307485044	4097.706533976715	57.049507187174136	8389.694477954788	0.022164434505497415
80	3019.6677118685275	47.66098999650991	4155.217882049521	53.21957489440197	11049.601861451667	0.020326377019547044
