T	Q	sigma_Q	Qc	sigma_Qc	Qi	sigma_Qi
100	6057.9864009904195	301.7050341699846	22177.32777712275	795.2257556261308	8334.70468483574	0.061368494584353867
110	6295.006299544093	336.1085552281349	23131.21080404922	858.5496479902451	8648.69024895776	0.06502641826813657
120	5734.1194025946825	288.89368677280044	22331.67285605406	833.4157321440382	7715.141811434082	0.06269826868603638
130	5637.066835009776	277.10015693158135	22105.266679720666	806.4659178083739	7566.6355068748335	0.0612159975981592
140	5483.5206187186395	265.78431688979776	21805.21301247689	787.2842772625272	7325.792709780192	0.06043923588793618
150	5289.089410026904	314.0616335849645	23176.40348066664	1029.0981210708962	6853.017156628954	0.07414509830472898
160	5605.873468942378	286.90846913052223	22729.521683943658	868.5960375653419	7441.102560034152	0.06387279294479699
170	5530.207366306695	331.05516719754695	23205.653372561806	1006.00039103377	7260.471683457721	0.0739117114862957
180	4824.244754653016	309.57830881290477	22902.36331254716	1047.5004697970448	6111.620837416584	0.07880289225458272
190	4700.005256089006	307.76039051376796	22849.516242799426	1067.8531079309769	5917.12066065496	0.0804476569724032
200	4913.726412657038	281.3007809893735	23201.886769710774	1024.4615788688639	6233.963483365509	0.07229747376183235
210	4469.738826111159	259.0712568228461	22293.395901888412	1005.7236850869328	5590.6403946673045	0.07344852639543438
50	4357.558166621738	305.26520479133944	23509.568397909854	1225.855790481414	5349.0109147239245	0.08732963854574434
60	4076.2141830691608	255.41921328740793	22818.76767046015	1112.541870333889	4962.727436315696	0.07939453525809931
70	3794.9928094537213	287.8856599104198	23282.884760577537	1283.1593828804187	4534.014272623058	0.09376534249480062
80	4660.358542040165	338.7129573474157	24587.57163139396	1307.599276658077	5750.2722014655355	0.09005873004586032
