T	Q	sigma_Q	Qc	sigma_Qc	Qi	sigma_Qi
100	8575.287983682918	210.62748069651968	13081.474041321468	224.90660028401194	24894.09130482955	0.029981493102464975
110	5265.346564735594	109.94284592738349	8052.396530619146	125.22560874415788	15212.73709814639	0.026035320046859038
120	8322.449983686769	212.41454273540975	13157.150278989602	242.8141290115652	22648.71004126691	0.031496214436559915
130	5201.764657390804	110.05836425605504	8115.31124513649	127.95376956585709	14488.849911042465	0.026386611466627456
140	5224.708582640392	102.61714346624734	8070.0394907277705	120.63310905004894	14818.524084354922	0.024682167118753796
150	5245.07150197973	112.46985606468861	8085.331963992719	127.60563967708232	14931.075806451892	0.026624865806558835
160	5194.818941265878	111.38169992117719	8112.0152017566015	127.81190550916209	14445.53141406851	0.026607530886261683
170	4970.698744224448	104.25720790555137	7937.7517681635545	125.21631126824565	13298.101661018965	0.02624437865635785
180	8121.703779264587	204.34074558172995	12876.16069385381	226.1601289048408	21995.438143270218	0.0306842036612846
190	4781.095554985922	101.61431364905751	7905.408237501733	118.3830278746458	12097.544652359666	0.025999113692395465
200	4517.88352890932	95.71423746070798	7811.115052856085	123.70851767466525	10715.829659440798	0.026451040139447386
210	7050.838196127216	187.57664033498477	12712.30640885081	248.45054665708298	15832.008980807848	0.03301083781697485
50	3989.1280007384516	94.43135650133748	7887.8215473401715	142.88408313591378	8070.788181530601	0.02980784901610978
60	3637.477069396637	85.1893267700257	7639.107070820974	140.4961400524172	6943.939542358113	0.02977827955473374
70	3167.2633148063724	78.50865402113727	7564.628773625861	150.71447762774568	5448.528540374254	0.031802058787954814
80	3753.723290690773	87.28513404757025	7700.358206326508	139.8341118527809	7323.964482053831	0.029503635187086392
90	2541.4277873414644	72.57021713673433	7532.291044669747	177.63802431528458	3835.563664293721	0.03703464996132856
