T	Q	sigma_Q	Qc	sigma_Qc	Qi	sigma_Qi
50	24834.961244057697	138.63985264114356	2165.3105516404044	4.366520988895051	-0.0004215617022204204	4.366520988895051
60	15809.763376746445	72.06342456277825	1372.5039907192465	2.7160125879095145	-0.0006653432778570496	2.7160125879095145
70	23830.422696075544	131.15137186632546	2163.5673116876633	4.386979813528233	-0.00042023645824787475	4.386979813528233
80	15635.433263356908	70.91998492339468	1372.9891997775608	2.7175360250471865	-0.0006643805547910286	2.7175360250471865
90	15924.611972027926	73.57251343121276	1393.825489242945	2.7704863589081947	-0.0006546540516319873	2.7704863589081947
100	14818.641414114452	65.94915368452672	1371.524594514548	2.7457462529938277	-0.0006616330467407954	2.7457462529938277
110	15486.19365101621	71.54316213077662	1383.0932983441005	2.7610376452033636	-0.0006584433767924116	2.7610376452033636
120	15116.959962543728	68.15245381059515	1381.566777673615	2.7560731891860435	-0.000657665033095902	2.7560731891860435
130	24159.105291823864	136.29857847643925	2203.614351220351	4.504264644941084	-0.0004124076512646523	4.504264644941084
140	12310.97585380866	51.779198614606756	1354.2992011451292	2.801893303526428	-0.0006571609418645852	2.801893303526428
150	11044.40421543972	44.85194362100748	1372.7359498571295	2.9005359472827794	-0.0006379286270958664	2.9005359472827794
160	17356.41721031824	86.96465889369121	2161.4920492302367	4.602461757749924	-0.0004050278083355548	4.602461757749924
170	9650.505940265048	38.9608598580804	1370.6660384042564	3.0139320986848896	-0.0006259508086159368	3.0139320986848896
180	7738.12194389747	30.270856216457478	1352.8490073253147	3.182884309713135	-0.0006099504682595138	3.182884309713135
190	6119.828657303807	23.70420602441027	1357.175080928139	3.4826044897182524	-0.0005734213425762465	3.4826044897182524
200	7279.774397777904	27.85015307531834	1345.7900302856704	3.1974103757695405	-0.0006056910698236975	3.1974103757695405
210	3905.945840620753	15.304985079474347	1343.8027051022896	4.297761057044032	-0.00048813692395106915	4.297761057044032
