T	Q	sigma_Q	Qc	sigma_Qc	Qi	sigma_Qi
50	6348.648576971357	79.64083565264627	6845.6444209079755	61.82274925242018	1.1435551974860203e-05	61.82274925242018
60	4267.7637299376365	43.30558491646252	4446.9045048299495	34.337691537857154	9.439223666134796e-06	34.337691537857154
70	6215.612082840807	77.03255237331996	6870.677627702129	61.71750272442614	1.533914959181369e-05	61.71750272442614
80	3500.683476173949	34.40344802666846	4085.2239488107366	32.372513395155465	4.08738806574115e-05	32.372513395155465
90	4060.5672734376617	41.8802106291173	4401.965959652643	34.75461113581832	1.909978399073991e-05	34.75461113581832
100	3930.0629950629373	40.452422186293006	4361.93762696627	34.665087595064506	2.519293299984825e-05	34.665087595064506
110	4006.214941827554	41.16085349621153	4382.548515446011	34.64104911492859	2.1434432304194123e-05	34.64104911492859
120	4058.558985615497	42.10954763619611	4410.576488390463	35.039279407960294	1.9665139767606623e-05	35.039279407960294
130	6340.403607434752	79.50353896135721	6951.5123075375595	62.93298447092502	1.386507637568009e-05	62.93298447092502
140	3913.1398480051193	40.45642099821771	4342.915763844912	34.65781479433326	2.5289212147275883e-05	34.65781479433326
150	3785.6900448008437	39.577471812624026	4342.579436057314	35.23954977848052	3.3874751671832506e-05	35.23954977848052
160	5782.84313272386	73.96022571582853	6838.221926652318	64.00612201605327	2.6688475126757788e-05	64.00612201605327
170	2905.4177763167863	30.114201209582916	3955.912349369246	33.82324025189632	9.139839373255396e-05	33.82324025189632
180	2401.0709341623838	25.967391234069055	3719.6169122449487	34.71664030432021	0.00014763593342060862	34.71664030432021
190	2748.0287531605063	31.9203516505695	4092.0094370725824	38.91319096287748	0.00011951849831050754	38.91319096287748
200	3091.9764708305374	34.722178428799225	4209.810036443815	36.887860241195995	8.587731680383164e-05	36.887860241195995
210	2134.0009654918267	26.912687599593482	3933.1368501634365	42.702384939074136	0.00021435336060165788	42.702384939074136
