T	Q	sigma_Q	Qc	sigma_Qc
50	7417.560058010755	76.10629347880965	8798.814382624	72.80931301960362
60	7802.803988457786	81.58573747246031	9035.36480762612	74.51687966824521
70	6270.691882131613	59.57884486978594	7887.227316916635	65.65603150355463
80	6044.156664191261	57.04122007609908	7836.039983124646	65.95268914552354
90	5698.873548923203	54.78338586430438	7746.956957982847	67.7151363213585
100	7202.691296150992	95.98053339502137	9772.839703150305	102.75885129215348
110	6259.71626530928	67.34909291951448	8276.73161582571	75.85644290514603
120	6491.699516243841	80.12295323489903	8881.445147057284	90.13912951257005
130	5906.381238860985	85.23279265068406	9152.969836954182	111.97283232681602
140	5504.468683771407	81.6422288070074	8978.707954072794	116.51012799142838
150	5255.757205074555	68.45833106667813	8438.719851608097	98.44847426771204
160	4198.367276755767	51.3921095321607	7287.398783093035	89.57844060077952
170	-3193.8271001413627	50.22867988044521	9674.1961599556	146.91759336892972
180	3942.0194695724445	57.70663433500068	7877.1890089679555	117.18285987000037
190	4202.205208347243	75.56730150214929	10204.721536308494	178.86984566858004
200	4736.614333262436	78.30596344387705	9486.935848369061	144.8723122888354
210	4037.9736674140113	87.88902576935973	13105.003318752753	278.87060204157984
