T	Q	sigma_Q	Qc	sigma_Qc	Qi	sigma_Qi
50	7897.254442049759	65.45359439485507	9585.562251887259	48.94890037519841	2.2302723831277906e-05	48.94890037519841
60	8176.251903874264	67.507796468757	9650.2178126682	48.922822825843966	1.868082533452161e-05	48.922822825843966
70	7672.90620916922	60.18407572682677	9493.436762579839	44.320665512355	2.4992783121895762e-05	44.320665512355
80	7692.997517295827	66.82976770324419	9515.935867082677	49.7795522023496	2.4901464111925064e-05	49.7795522023496
90	7350.237008592116	63.05347323315485	9492.704069213418	48.95328166966572	3.070597332381061e-05	48.95328166966572
100	7064.930044050164	59.572392153364206	9339.799334705716	48.73055323440524	3.447553676509907e-05	48.73055323440524
110	6825.668080349403	58.42489992420437	9309.877060929743	49.272208904411166	3.909300147361649e-05	49.272208904411166
120	6608.670840373991	56.946468355549825	9334.087496284206	50.018844071914025	4.4182157218905326e-05	50.018844071914025
130	6147.515737269319	52.262343973011276	9179.39165896047	49.363635041556506	5.372765360080061e-05	49.363635041556506
140	5941.207291164702	49.87059540839644	9137.626318424482	49.16211082820589	5.887834692163041e-05	49.16211082820589
150	5458.41003259727	48.10876370810868	9128.633363577319	51.40590086616812	7.365810988895996e-05	51.40590086616812
160	4983.736273389207	43.443220827786995	9024.48183688902	51.490704858776986	8.984298589169291e-05	51.490704858776986
170	4496.016550138995	40.385823904641946	8935.60901484563	53.66619230001404	0.00011050732003720632	53.66619230001404
180	4352.006914502664	41.33994889204491	9086.056989921373	56.318673117730505	0.00011972030491511353	56.318673117730505
190	3871.097122432382	37.559965214287026	9215.768445768768	60.09048402402319	0.0001498150284945022	60.09048402402319
200	4573.381103434522	42.358485282037854	9035.744206094032	54.40214798013035	0.00010798503789486877	54.40214798013035
210	3249.406206229292	34.6904873150935	9649.535170895528	71.05837481098983	0.00020411660029400364	71.05837481098983
