T	Q	sigma_Q	Qc	sigma_Qc	Qi	sigma_Qi
50	-6.394124067708081	2.583265410172756	44.12076481272179	27.56658004657765	-0.17905865215489591	27.56658004657765
60	8595.503056310561	0.0	33160.127839521185	0.0	8.6183204773937e-05	0.0
70	7505.222879317939	263.0325124554931	31269.695808192457	815.6630976944521	0.00010126070256460899	815.6630976944521
80	1.1997914513201104	5.593949112010453	1207.8793918646463	5480.306801679377	0.832650286751389	5480.306801679377
90	7332.083040933117	255.15599155473106	31747.614882802714	837.7410800122245	0.00010488846035615234	837.7410800122245
100	7681.910506950485	325.65166100673474	34152.40863270467	1041.0489503332603	0.00010089543856909265	1041.0489503332603
110	7746.247159688995	292.6496637772637	33491.74389798902	939.9469490325247	9.923666576559373e-05	939.9469490325247
120	-8223.006440233403	346.7403816063723	35405.25272406575	1070.5963753624985	-0.00014985441932669716	1070.5963753624985
130	74689.96368733347	1.9999979100278862	261237.1914037436	1.9999980001105542	9.56074081895753e-06	1.9999980001105542
140	0.9453980821604403	38.84588063429827	-440.3666564459229	18127.05122012261	1.0600263126500176	18127.05122012261
150	-14.5120741124732	25.944184852478045	121.20618077534697	421.0186074095607	-0.0771585419543207	421.0186074095607
160	-4.305336412837785	684.9550267305427	107.41321993185056	1.0000010000071144	-0.24157972752122978	1.0000010000071144
170	76371.5787827653	1.9999979884227104	-958056.8936999592	1.9999980000030713	1.4137655577220802e-05	1.9999980000030713
180	6208.773822330415	0.0	-39269.02976156644	0.0	0.0001865277584414491	0.0
190	-15.312140018265223	21.741290770357722	88.87198745206962	247.42210613426886	-0.0765597972623443	247.42210613426886
200	-6.822807408528344	1.040865773714814	17.33592796330244	4.175125957695649	-0.2042509055491665	4.175125957695649
210	-15770.76958077507	1.9999962815620387	189186.83497418862	1.9999980000163486	-6.869422660946972e-05	1.9999980000163486
