T	Q	sigma_Q	Qc	sigma_Qc
50	19301.904774313087	121.45799059715964	4354.31447803097	15.018323835293577
60	11278.52804310086	59.695704276739285	2629.0102804039066	9.95074382658862
70	19246.534315150515	121.21187747146286	4316.716356361637	14.905937755879945
80	11773.928765014389	62.8882235573899	2683.7402782535696	9.9807574519482
90	12075.914243653622	65.4360383593789	2706.8793327769044	10.01544638640787
100	11488.15739623474	61.11061868706453	2674.167360415401	10.025285849684865
110	10810.948230468235	56.793706091769806	2713.8503859567486	10.444682952645449
120	11107.694879069015	59.11810885715908	2649.3444882267477	10.093261845442202
130	17771.341694753544	111.33520833193275	4284.832916012706	15.165766759278586
140	9915.891725657742	52.79985212198589	2639.557536914394	10.597634608926837
150	9009.767985124927	47.16147767672418	2558.3926683426525	10.692813107436363
160	13383.460793867709	83.55378350650729	4277.158881250519	16.923096656507113
170	6766.9033929600255	39.881508503736775	2870.8833812016064	15.135365556567274
180	5899.0845939851615	34.89541596932572	2619.0236002117645	14.83953183719742
190	4500.169615153369	28.734226383364234	2411.9888066450467	17.16081089758432
200	6136.094969631658	35.53749267086323	2594.7745112742336	14.191711711815504
210	3479.8947576781848	28.303482252246297	2687.232850812604	26.55985901390724
