T	Q	sigma_Q	Qc	sigma_Qc
50	16984.42999366973	103.77413502862278	4133.730272009577	14.499995385662997
60	9753.209800456447	51.67181886310889	2475.183956925691	10.050201099353387
70	16580.57788878614	101.20389069029711	4135.097800150463	14.604465867476407
80	9528.329868796101	49.5530863362032	2428.287709046242	9.869458367988518
90	9970.537290972605	52.27036903901871	2603.0123491740533	10.328004981160717
100	9901.315135153427	51.08333262349103	2604.5613262575425	10.266655209834193
110	10063.193337328416	52.85497371536662	2558.7853737811192	10.108911328120909
120	9757.34764948311	52.0540057263936	2519.984835578018	10.243240448682219
130	15641.581960490837	94.91613635448455	4073.0061436638057	14.67778702278343
140	9118.81994724982	47.64864017318792	2622.098732496554	10.807541647567025
150	8730.260571573008	47.25634471495788	2551.366339187503	11.056092089267626
160	13051.341994311742	81.11710311018754	4017.1831854849343	15.83074236820995
170	7136.376899427703	40.68278832796901	2594.727256118404	12.972269683368722
180	6516.203838707195	38.59339857014477	2597.462827909469	14.06092704097344
190	5232.255580657946	32.87862421882361	2597.2932656175226	16.628474948956327
200	6730.6357095723515	37.58198145615432	2525.8263444751833	12.868544841310378
210	4036.6353413643365	33.083406629450245	3006.8881630633537	27.5017905250258
