T	Q	sigma_Q	Qc	sigma_Qc	Qi	sigma_Qi
50	19228.546255610465	109.96183369221475	4667.794494773784	11.093848501139552	-0.0001622279271536206	11.093848501139552
60	11828.655044309164	53.35308118290552	3050.3020604899684	5.912504090305611	-0.00024329591959216677	5.912504090305611
70	18615.2394130905	105.23886550067907	4659.851402855412	11.117121352268294	-0.00016087969048908627	11.117121352268294
80	11920.939337523067	53.29044444310048	3051.608014491505	5.892223340206977	-0.00024381007828814134	5.892223340206977
90	11924.403798072137	54.02873835244259	3055.833678508637	5.926323887154547	-0.00024338130585528238	5.926323887154547
100	11935.852693062729	53.70729839106272	3052.3869784037893	5.899354254447407	-0.0002438312629152856	5.899354254447407
110	11835.210465212616	53.13549341746516	3049.5745924746147	5.905024700848842	-0.0002434209503351729	5.905024700848842
120	11786.366010539286	53.37464540012383	3074.298994508321	5.9991206573605735	-0.00024043361211576066	5.9991206573605735
130	17822.975203114816	98.57814424117349	4664.16410759093	11.162861309192555	-0.00015829333419430246	11.162861309192555
140	11054.807053215198	49.193505567216896	3067.09902054153	6.0424184355604185	-0.0002355826039695306	6.0424184355604185
150	10327.422135896433	45.87779485443224	3071.213166577392	6.138016267865249	-0.00022877464551885457	6.138016267865249
160	15154.815149136532	84.72877323958079	4684.516045480397	11.704645613756183	-0.0001474835945827016	11.704645613756183
170	8410.958307871932	36.71665649771558	3110.477833060177	6.587531245659875	-0.00020260149613988108	6.587531245659875
180	7696.865889689646	33.556349881399484	3117.6743399364823	6.762192924214376	-0.00019082889814225491	6.762192924214376
190	6238.764154754665	27.030117711918553	3157.2157912485277	7.215327218121199	-0.00015644660879713505	7.215327218121199
200	8191.579298096241	35.428536925969865	3091.3969331519866	6.559881189594915	-0.00020140177498180668	6.559881189594915
210	4581.08466438402	20.360485731424806	3298.250048690783	8.49907795096238	-8.490216690515033e-05	8.49907795096238
