T	1/Q	1/Q_err
0.41000000000000003	4.618973140921863e-05	2.3382723694453407e-07
0.4	4.42345039769063e-05	2.1896578576262584e-07
0.39	4.266562112797414e-05	2.0528054204437722e-07
0.38	4.066383656285575e-05	1.9371700619291475e-07
0.37	4.015479720808361e-05	1.881877370016774e-07
0.36	3.8183785039469625e-05	1.756060653374458e-07
0.35000000000000003	3.9799866932845556e-05	1.611970208945966e-07
0.34	3.710099939840695e-05	1.6629402297682023e-07
0.33	3.695328275129558e-05	1.6588779358762953e-07
0.32	3.665609282766677e-05	1.602617362716562e-07
0.31	3.672284117933533e-05	1.6120950261193198e-07
0.3	3.655372110589697e-05	1.5794852877616209e-07
0.29	3.648115221949662e-05	1.5850031332580447e-07
0.28	3.653185944757585e-05	1.573353139165533e-07
0.26	3.7190502807524344e-05	1.5807342852203345e-07
0.25	3.649133270272255e-05	1.635476508640684e-07
0.24	3.652198829298063e-05	1.5988499233206132e-07
0.23	3.732596190284769e-05	1.499067250081671e-07
0.22	3.6502063903371544e-05	1.5635355262448742e-07
0.21	3.666391269234825e-05	1.570240994145567e-07
0.2	3.655822169676605e-05	1.5792103912986252e-07
0.19	3.666612767877337e-05	1.5850146108531687e-07
0.18	3.6637347935517686e-05	1.575987374165419e-07
0.17	3.670357050345243e-05	1.572337594022891e-07
0.16	3.6735744555941315e-05	1.583756735962349e-07
0.15	3.685764407423716e-05	1.5872406460054933e-07
0.14	3.68412539275905e-05	1.5874658031714867e-07
0.13	3.6917799459709586e-05	1.592688876452915e-07
0.12	3.6849885516739646e-05	1.5786162754640522e-07
0.11	3.6962653082201596e-05	1.5947270049916929e-07
0.1	3.685632885692317e-05	1.5759127289148948e-07
0.09	3.69439511971892e-05	1.5875156789045208e-07
0.08	3.684943913859989e-05	1.5852274379473747e-07
0.07	3.6953124202249556e-05	1.5769692249611783e-07
0.06	3.6989672291874326e-05	1.5843861264850357e-07
0.05	3.710894453050965e-05	1.594090641274916e-07
